Ticket no. +,Information Source,Condition Code,Condition Code Priority,Time Remaining ( Minutes ),Priority+,VTS Customer Type,Serv. Level,First_Accepted_User,Reporting Organization +,Destination Country+,LCR Destination,Fault Start Date (UTC)+,Last-modified-by,Fault Category,Fault Symptom,Support Group,User,Fault Summary,Carrier Ticket No,Fault Organization Name +,Rep. Org. Abbr.+,Ref. Report Org. No.
NET01761970,Complaint,Impaired,P3,-4654,780,Carrier,Preferred,,BIGBOSS TELECOM PRIVATE LIMITED,BANGLADESH,BANGLADESH - GRAMEEN PHONE MOBILE ,12/6/2017 2:31,AR_ESCALATOR,COMPL- ASR,LOW ASR,GNMCFMGT,,,,,BPIBI,x
NET01758313,Complaint,Impaired,P3,-4756,770,RSP & Hybrid,Preferred,SABHAGAT,BHAOO PRIVATE LIMITED,BANGLADESH,BANGLADESH - AKTEL MOBILE,5/6/2017 14:02,PRAHANE,QUALITY,CLI,GNMCFMGT,,FAS NOT DETECTEDASR and ACD is stable from last 5 days (SUMMARY DONE BY ABURNWAL),,,BHAOO,x
NET01763326,Complaint,Impaired,P2,-604,300,Mobile,Prime,PRITHVIC,INFRAESTRUCTURA CELULAR COLOMBIANA INFRACEL S.A. E.S.P.,QATAR,QATAR - MOBILE,14/06/2017 4:09,AR_ESCALATOR,COMPL- SNP,CAN'T REACH,GNMCFMGT,,,,VODAFONE QATAR Q.S.C.,ICEFR,INC000002767357
NET01763501,Complaint,Impaired,P4,-746,920,RSP & Hybrid,Preferred,,ORANGE,ITALY,ITALY - OTHER OLO,14/06/2017 12:03,SUMIKAMB,COMPL- SAP,RECORDING,GNMCFMGT,,,,,FTCOM,1706A71425
NET01761071,Complaint,Impaired,P3,-8212,780,Carrier,Preferred,,AGILE360 TELECOMMUNICATIONS LIMITED,NEPAL,NEPAL - UTL ONNET,9/6/2017 15:47,AR_ESCALATOR,COMPL- ASR,LOW ASR,GNMCFMGT,,,,,AGIGF,x
NET01761088,Complaint,Impaired,P3,-8292,730,Carrier,Prime,,MONTY HOLDING S.A.L.,CAMBODIA,CAMBODIA - MOBILE,9/6/2017 16:08,AR_ESCALATOR,COMPL- SAP,CAN'T REACH,GNMCFMGT,,,,,MHOKD,x
NET01761397,Complaint,Outage,P1,-8481,550,RSP & Hybrid,Prime,,MULTIREGIONAL TRANSIT TELECOM,KYRGYZSTAN,KYRGYZSTAN - OTHER,10/6/2017 5:37,AR_ESCALATOR,COMPL- SAP,LOOP AROUND,GNMCFMGT,,,,,MZT,Req0294556
NET01761254,Complaint,Impaired,P1,-8482,450,RSP & Hybrid,Preferred,,"PTGI INTERNATIONAL CARRIER SERVICES, INC",BANGLADESH,BANGLADESH - GRAMEEN PHONE MOBILE ,9/6/2017 22:47,AR_ESCALATOR,QUALITY,PDD,GNMCFMGT,,,,,PRI,130852
NET01761095,Complaint,Impaired,P1,-8585,750,RSP & Hybrid,Preferred,,LYCA TEL (IRELAND) LIMITED,DEM REP CONGO,DEM. REP. OF CONGO - ORANGE MOBILE,9/6/2017 16:31,SSADHALE,QUALITY,SUPERVISION,GNMCFMGT,,,,,LYCAI,TLY048(USD) -- 24385
NET01761109,Complaint,Impaired,P1,-9264,570,,Prime,,ICON GLOBAL SERVICES LTD.,DUMMY COUNTRY,DUMMY COUNTRY,9/6/2017 17:30,ABDWIVED,VOIP,CALL COMPL,GNMCFMGT,,,,,ICOGS,x
NET01762109,Complaint,Impaired,,10,999,,Blocked,,TVOICE TELECOM LIMITED,CHINA,CHINA - MOBILE,12/6/2017 12:20,PRAHANE,QUALITY,SUPERVISION,GNMCFMGT,,,,,TLTTE,x
